ground_truth,name,classification,confidence,correct
422005,accueillir les requérants et les faire enrôler  enrôler les requérants,514001,0.5,False
611001,acheteur de cacao  cacao,332003,0.5,False
611001,"acheteur de cacao  peser, ramassager",332003,0.5,False
332003,"acheteur de produits agricoles (anacarde et mais)  acheter les produits agricoles (anacarde, mais) et revendre",332003,0.5,True
332003,acheteur d'hévéa  peser et acheter hevea,332003,1.0,True
333202,agent commercial  promotion de produit (savon et chocolat et autre...),333202,0.5,True
333202,agent commercial  service les clients et faire la reception,333202,0.5,True
333202,agent commerciale cie  accueillir les clients,333202,0.5,True
911002,agent de mairie  ramaser les ordures,431102,1.0,False
541401,agent de securite  surveillance de l'universite de bouake,541401,0.5,True
541401,agent de securite  vigiles,541401,0.5,True
541401,"agent de securite  surveillance de site de la dgi, surveillance de personnes et de biens",541401,0.5,True
541401,agent de securite  agent de securite,541401,1.0,True
541401,agent de sécurité  surveiller proteger les biens et service,541401,0.5,True
541401,agent de sécurité  surveillance des biens et personnes,541401,1.0,True
541401,agent de sécurité  surveiller les entrees et soties des personnes,541401,1.0,True
541401,agent de securite pour une boulangerie  surveillance de l endroit,541401,1.0,True
333104,agent immobilier  montrer les terrains et superviser les lotissements,333104,1.0,True
333104,"agent immobilier  prospection et recherche de biens immobiliers, conseils et accompagnement des clients, négociation et gestion des transactions...",333202,0.5,False
342204,agentdu ministere des sports  infrastructure,931103,1.0,False
613001,"agriculeteur de mais, riz, arachide  cultiver le mais, riz, arachide",611001,0.5,False
611001,agriculteur  faire le netoyage planter et recolter quand c'est la saison,611006,0.5,False
611001,agriculteur  cutliver et vente danacarde,611001,0.5,True
611001,agriculteur  entretenir la plantation,611001,1.0,True
611001,agriculteur  entretenir et planter du cacao,611001,0.5,True
611001,agriculteur  culture et vente de produits vivriers,611001,0.5,True
611001,agriculteur  agriculteur d anacardes,611001,0.5,True
611001,agriculteur  ramasseur d anacardes et vente,611001,0.5,True
611001,agriculteur  agriculteur d anacardes et revendre,611001,0.5,True
611001,agriculteur  entretien et  supervision,613001,0.5,False
611001,agriculteur  anacard  recolte  des noix  d anacard,611001,0.5,True
613001,"agriculteur  d igname  planter ,entretenir  et deterrer",611006,0.5,False
611001,"agriculteur  de cacao  entretenir, recolter et cabosser",611001,0.5,True
611001,agriculteur  de cacao  aide dans le champs  de cacao,611001,0.5,True
613001,"agriculteur  de l’igname  faire les buttes d’igname, semer, entretenir la plantation et recolter l’igname",613001,0.5,True
613001,"agriculteur  de riz, maï, arachide et anacard  recolte  des noix de anacard",611001,0.5,False
613001,agriculteur anacarde et igname  culture d'anacarde,611001,0.5,False
613001,agriculteur anacarde maïs riz arrachide manioc  cultiver anacarde maïs riz arrachide manioc,611001,0.5,False
613001,"agriculteur anacarde,maïs,riz et arrachide manioc  cultiver anacarde,maïs,riz arrachide et manioc",611001,0.5,False
611001,agriculteur anarcade  cultive et vente de anacarde,611001,0.5,True
611001,agriculteur cacao  cultiver cacao,611001,0.5,True
611001,"agriculteur cacao, banane et hevea  cultiver",611001,0.5,True
611001,"agriculteur cacao, cafe et cultures vivrieres  semer, recolter et vendre",611001,0.5,True
611001,agriculteur d anacarde  recolter de l anacarde,611001,0.5,True
611001,agriculteur d anacarde  je vais au champ nettoyer semer trier mes anacardes,611001,1.0,True
611001,agriculteur d 'anacarde  cultive et recolte,611001,0.5,True
611001,agriculteur d anacarde et de maïs  cultiuver le maïs et l'anacarde,611001,0.5,True
611001,agriculteur d arnacarde  entretenir le champs,613001,0.5,False
611001,agriculteur d hevea  vendre la seve,613001,0.5,False
613001,agriculteur d 'igname  cultive et vend,613001,0.5,True
611001,agriculteur d’anacade  entretien du champs par des journaiers,611001,0.5,True
611001,agriculteur d’anacade  entretien du champs,611001,0.5,True
611001,agriculteur d’anacade  entretien du champs,611001,0.5,True
611001,agriculteur d’anacade  entretien du champs,611001,0.5,True
611001,agriculteur d’anacade  entretien du champs,611001,0.5,True
611001,agriculteur d’anacade  entretien du champs,611001,0.5,True
611001,"agriculteur d’anacarde  semer,nettoyer, récolter et vendre",611001,0.5,True
611001,"agriculteur d’anacarde  semer,nettoyer, récolter et vendre",611001,0.5,True
611001,"agriculteur d’anacarde  semer, nettoyer, récolter et vendre",611001,0.5,True
611001,"agriculteur d’anacarde  semer, nettoyer, récolter et vendre",611001,0.5,True
611001,"agriculteur d’anacarde  semer, nettoyer, récolter et vendre",611001,0.5,True
611001,"agriculteur d’anacarde  semer, nettoyer, récolter et vendre",611001,0.5,True
611001,"agriculteur d’anacarde  semer, nettoyer, récolter et vendre",611001,0.5,True
611001,"agriculteur d’anacarde  semer, nettoyer, récolter et vendre",611001,0.5,True
611001,agriculteur d’anacarde  je cultive,613001,0.5,False
611001,agriculteur d’anacarde  je cultive,613001,0.5,False
611001,"agriculteur d’anacarde  semer, nettoyer, récolter et vendre",611001,0.5,True
611001,"agriculteur d’anacarde  semer, nettoyer, récolter et vendre",611001,0.5,True
611001,"agriculteur d’anacarde  semer, nettoyer, récolter et vendre",611001,0.5,True
611001,"agriculteur d’anacarde  semer, nettoyer, récolter et vendre",611001,0.5,True
611001,"agriculteur d’anacarde  semer, nettoyer, récolter et vendre",611001,0.5,True
611001,"agriculteur d’anacarde  semer, nettoyer, récolter et vendre",611001,0.5,True
